"location","variable","estimate","year"
"Washington","S0802_C02_058",8.6,2011
"Washington","S0802_C02_059",4.7,2011
"Washington","S0802_C02_060",5.7,2011
"Washington","S0802_C02_061",1.6,2011
"Washington","S0802_C02_062",77.1,2011
"Washington","S0802_C02_063",18.3,2011
"Washington","S0802_C02_064",4.5,2011
"Washington","S0802_C02_065",0.1,2011
"Washington","S0802_C02_066",96.6,2011
"Washington","S0802_C02_067",80.6,2011
"Washington","S0802_C02_068",16,2011
"Washington","S0802_C02_069",3.4,2011
"Washington","S0802_C02_070",2269757,2011
"Washington","S0802_C02_071",5.6,2011
"Washington","S0802_C02_072",4.7,2011
"Washington","S0802_C02_073",5.7,2011
"Washington","S0802_C02_074",8.8,2011
"Washington","S0802_C02_075",10.2,2011
"Washington","S0802_C02_076",13.1,2011
"Washington","S0802_C02_077",12.3,2011
"Washington","S0802_C02_078",9.3,2011
"Washington","S0802_C02_079",5.7,2011
"Washington","S0802_C02_080",24.7,2011
"Washington","S0802_C02_081",12.9,2011
"Washington","S0802_C02_082",14.9,2011
"Washington","S0802_C02_083",17.1,2011
"Washington","S0802_C02_084",15.6,2011
"Washington","S0802_C02_085",6.6,2011
"Washington","S0802_C02_086",13.7,2011
"Washington","S0802_C02_087",6.7,2011
"Washington","S0802_C02_088",6.9,2011
"Washington","S0802_C02_089",5.5,2011
"Washington","S0802_C02_090",23.8,2011
"Washington","S0802_C02_091",2262706,2011
"Washington","S0802_C02_092",68,2011
"Washington","S0802_C02_093",32,2011
"Washington","S0802_C02_094",1,2011
"Washington","S0802_C02_095",18.2,2011
"Washington","S0802_C02_096",42.3,2011
"Washington","S0802_C02_097",38.5,2011
"Washington","S0802_C02_098",NA,2011
"Washington","S0802_C02_099",NA,2011
"Washington","S0802_C02_100",NA,2011
"Washington","S0802_C02_101",NA,2011
"Washington","S0802_C03_001",315066,2011
"Washington","S0802_C03_002",4.2,2011
"Washington","S0802_C03_003",11,2011
"Washington","S0802_C03_004",47.2,2011
"Washington","S0802_C03_005",22,2011
"Washington","S0802_C03_006",8.1,2011
"Washington","S0802_C03_007",7.5,2011
"Washington","S0802_C03_008",39.3,2011
"Washington","S0802_C03_009",53,2011
"Washington","S0802_C03_010",47,2011
"Washington","S0802_C03_011",96.1,2011
"Washington","S0802_C03_012",74.3,2011
"Washington","S0802_C03_013",3,2011
"Washington","S0802_C03_014",1.1,2011
"Washington","S0802_C03_015",11.7,2011
"Washington","S0802_C03_016",0.6,2011
"Washington","S0802_C03_017",5.4,2011
"Washington","S0802_C03_018",3.9,2011
"Washington","S0802_C03_019",13.5,2011
"Washington","S0802_C03_020",66.9,2011
"Washington","S0802_C03_021",76,2011
"Washington","S0802_C03_022",24,2011
"Washington","S0802_C03_023",9.9,2011
"Washington","S0802_C03_024",14.1,2011
"Washington","S0802_C03_025",27.3,2011
"Washington","S0802_C03_026",12.7,2011
"Washington","S0802_C03_027",14.6,2011
"Washington","S0802_C03_028",314959,2011
"Washington","S0802_C03_029",15.7,2011
"Washington","S0802_C03_030",7.9,2011
"Washington","S0802_C03_031",14.5,2011
"Washington","S0802_C03_032",12.9,2011
"Washington","S0802_C03_033",15.8,2011
"Washington","S0802_C03_034",12.6,2011
"Washington","S0802_C03_035",5.4,2011
"Washington","S0802_C03_036",15.1,2011
"Washington","S0802_C03_037",33822,2011
"Washington","S0802_C03_038",314204,2011
"Washington","S0802_C03_039",8.3,2011
"Washington","S0802_C03_040",7.4,2011
"Washington","S0802_C03_041",84.3,2011
"Washington","S0802_C03_042",315066,2011
"Washington","S0802_C03_043",33.6,2011
"Washington","S0802_C03_044",18,2011
"Washington","S0802_C03_045",20,2011
"Washington","S0802_C03_046",16,2011
"Washington","S0802_C03_047",11.9,2011
"Washington","S0802_C03_048",0.6,2011
"Washington","S0802_C03_049",4.4,2011
"Washington","S0802_C03_050",9,2011
"Washington","S0802_C03_051",11.4,2011
"Washington","S0802_C03_052",2.4,2011
"Washington","S0802_C03_053",10.4,2011
"Washington","S0802_C03_054",4.3,2011
"Washington","S0802_C03_055",6.7,2011
"Washington","S0802_C03_056",12.7,2011
"Washington","S0802_C03_057",18.9,2011
"Washington","S0802_C03_058",9.4,2011
"Washington","S0802_C03_059",4.1,2011
"Washington","S0802_C03_060",5,2011
"Washington","S0802_C03_061",1.3,2011
"Washington","S0802_C03_062",76.3,2011
"Washington","S0802_C03_063",17.6,2011
"Washington","S0802_C03_064",6,2011
"Washington","S0802_C03_065",0.1,2011
"Washington","S0802_C03_066",95.5,2011
